review,sentiment,tokenized_review,lemmatized_review
wonderful experience made place muststop whenever town,positive,"['wonderful', 'experience', 'made', 'place', 'muststop', 'whenever', 'town']",wonderful experience made place muststop whenever town
food not bad enough enjoy dealing worlds worstannoying drunk people,negative,"['food', 'not', 'bad', 'enough', 'enjoy', 'dealing', 'worlds', 'worstannoying', 'drunk', 'people']",food not bad enough enjoy dealing world worstannoying drunk people
fun chef,positive,"['fun', 'chef']",fun chef
ordered double cheeseburger got single patty falling apart picture uploaded yeah still sucks,negative,"['ordered', 'double', 'cheeseburger', 'got', 'single', 'patty', 'falling', 'apart', 'picture', 'uploaded', 'yeah', 'still', 'sucks']",ordered double cheeseburger got single patty falling apart picture uploaded yeah still suck
great place couple drinks watch sporting events walls covered tvs,positive,"['great', 'place', 'couple', 'drinks', 'watch', 'sporting', 'events', 'walls', 'covered', 'tvs']",great place couple drink watch sporting event wall covered tv
possible give zero stars would,negative,"['possible', 'give', 'zero', 'stars', 'would']",possible give zero star would
descriptions said yum yum sauce another said eel sauce yet another said spicy mayowell none rolls sauces,negative,"['descriptions', 'said', 'yum', 'yum', 'sauce', 'another', 'said', 'eel', 'sauce', 'yet', 'another', 'said', 'spicy', 'mayowell', 'none', 'rolls', 'sauces']",description said yum yum sauce another said eel sauce yet another said spicy mayowell none roll sauce
id say would hardest decision honestly ms dishes taste supposed taste amazing,positive,"['id', 'say', 'would', 'hardest', 'decision', 'honestly', 'ms', 'dishes', 'taste', 'supposed', 'taste', 'amazing']",id say would hardest decision honestly m dish taste supposed taste amazing
not rolled eyes may stayed not sure go back try,negative,"['not', 'rolled', 'eyes', 'may', 'stayed', 'not', 'sure', 'go', 'back', 'try']",not rolled eye may stayed not sure go back try
everyone attentive providing excellent customer service,positive,"['everyone', 'attentive', 'providing', 'excellent', 'customer', 'service']",everyone attentive providing excellent customer service
horrible not waste time money,negative,"['horrible', 'not', 'waste', 'time', 'money']",horrible not waste time money
dish quite flavourful,positive,"['dish', 'quite', 'flavourful']",dish quite flavourful
time side restaurant almost empty no excuse,negative,"['time', 'side', 'restaurant', 'almost', 'empty', 'no', 'excuse']",time side restaurant almost empty no excuse
not busy either also building freezing cold,negative,"['not', 'busy', 'either', 'also', 'building', 'freezing', 'cold']",not busy either also building freezing cold
like reviewer said could not pay eat place,negative,"['like', 'reviewer', 'said', 'could', 'not', 'pay', 'eat', 'place']",like reviewer said could not pay eat place
drinks took close 30 minutes come one point,negative,"['drinks', 'took', 'close', '30', 'minutes', 'come', 'one', 'point']",drink took close 30 minute come one point
seriously flavorful delights folks,positive,"['seriously', 'flavorful', 'delights', 'folks']",seriously flavorful delight folk
much better ayce sushi place went vegas,positive,"['much', 'better', 'ayce', 'sushi', 'place', 'went', 'vegas']",much better ayce sushi place went vega
lighting dark enough set mood,positive,"['lighting', 'dark', 'enough', 'set', 'mood']",lighting dark enough set mood
based subpar service received no effort show gratitude business not going back,negative,"['based', 'subpar', 'service', 'received', 'no', 'effort', 'show', 'gratitude', 'business', 'not', 'going', 'back']",based subpar service received no effort show gratitude business not going back
owners really great people,positive,"['owners', 'really', 'great', 'people']",owner really great people
nothing privileged workingeating,negative,"['nothing', 'privileged', 'workingeating']",nothing privileged workingeating
greek dressing creamy flavorful,positive,"['greek', 'dressing', 'creamy', 'flavorful']",greek dressing creamy flavorful
overall not think would take parents place made similar complaints silently felt,negative,"['overall', 'not', 'think', 'would', 'take', 'parents', 'place', 'made', 'similar', 'complaints', 'silently', 'felt']",overall not think would take parent place made similar complaint silently felt
pizza good peanut sauce tasty,positive,"['pizza', 'good', 'peanut', 'sauce', 'tasty']",pizza good peanut sauce tasty
7 table service pretty fast,positive,"['7', 'table', 'service', 'pretty', 'fast']",7 table service pretty fast
fantastic service,positive,"['fantastic', 'service']",fantastic service
well would given godfathers zero stars possible,negative,"['well', 'would', 'given', 'godfathers', 'zero', 'stars', 'possible']",well would given godfather zero star possible
know make,positive,"['know', 'make']",know make
tough short flavor,negative,"['tough', 'short', 'flavor']",tough short flavor
hope place sticks around,positive,"['hope', 'place', 'sticks', 'around']",hope place stick around
bars vegas not ever recall charged tap water,negative,"['bars', 'vegas', 'not', 'ever', 'recall', 'charged', 'tap', 'water']",bar vega not ever recall charged tap water
restaurant atmosphere exquisite,positive,"['restaurant', 'atmosphere', 'exquisite']",restaurant atmosphere exquisite
good service clean inexpensive boot,positive,"['good', 'service', 'clean', 'inexpensive', 'boot']",good service clean inexpensive boot
seafood fresh generous portion,positive,"['seafood', 'fresh', 'generous', 'portion']",seafood fresh generous portion
plus 8 bucks,positive,"['plus', '8', 'bucks']",plus 8 buck
service not par either,negative,"['service', 'not', 'par', 'either']",service not par either
thus far visited twice food absolutely delicious time,positive,"['thus', 'far', 'visited', 'twice', 'food', 'absolutely', 'delicious', 'time']",thus far visited twice food absolutely delicious time
good year ago,positive,"['good', 'year', 'ago']",good year ago
self proclaimed coffee cafe wildly disappointed,negative,"['self', 'proclaimed', 'coffee', 'cafe', 'wildly', 'disappointed']",self proclaimed coffee cafe wildly disappointed
veggitarian platter world,positive,"['veggitarian', 'platter', 'world']",veggitarian platter world
cannot go wrong food,positive,"['can', 'not', 'go', 'wrong', 'food']",can not go wrong food
cannot beat,positive,"['can', 'not', 'beat']",can not beat
stopped place madison ironman friendly kind staff,positive,"['stopped', 'place', 'madison', 'ironman', 'friendly', 'kind', 'staff']",stopped place madison ironman friendly kind staff
chefs friendly good job,positive,"['chefs', 'friendly', 'good', 'job']",chef friendly good job
better not dedicated boba tea spots even jenni pho,negative,"['better', 'not', 'dedicated', 'boba', 'tea', 'spots', 'even', 'jenni', 'pho']",better not dedicated boba tea spot even jenni pho
liked patio service outstanding,positive,"['liked', 'patio', 'service', 'outstanding']",liked patio service outstanding
goat taco not skimp meat wow flavor,positive,"['goat', 'taco', 'not', 'skimp', 'meat', 'wow', 'flavor']",goat taco not skimp meat wow flavor
think not,negative,"['think', 'not']",think not
mac salad pretty bland not getting,negative,"['mac', 'salad', 'pretty', 'bland', 'not', 'getting']",mac salad pretty bland not getting
went bachi burger friends recommendation not disappointed,positive,"['went', 'bachi', 'burger', 'friends', 'recommendation', 'not', 'disappointed']",went bachi burger friend recommendation not disappointed
service stinks,negative,"['service', 'stinks']",service stink
waited waited,negative,"['waited', 'waited']",waited waited
place not quality sushi not quality restaurant,negative,"['place', 'not', 'quality', 'sushi', 'not', 'quality', 'restaurant']",place not quality sushi not quality restaurant
would definitely recommend wings well pizza,positive,"['would', 'definitely', 'recommend', 'wings', 'well', 'pizza']",would definitely recommend wing well pizza
great pizza salads,positive,"['great', 'pizza', 'salads']",great pizza salad
things went wrong burned saganaki,negative,"['things', 'went', 'wrong', 'burned', 'saganaki']",thing went wrong burned saganaki
waited hour breakfast could done 100 times better home,negative,"['waited', 'hour', 'breakfast', 'could', 'done', '100', 'times', 'better', 'home']",waited hour breakfast could done 100 time better home
place amazing,positive,"['place', 'amazing']",place amazing
hate disagree fellow yelpers husband disappointed place,negative,"['hate', 'disagree', 'fellow', 'yelpers', 'husband', 'disappointed', 'place']",hate disagree fellow yelpers husband disappointed place
waited 2 hours never got either pizzas many around us came later,negative,"['waited', '2', 'hours', 'never', 'got', 'either', 'pizzas', 'many', 'around', 'us', 'came', 'later']",waited 2 hour never got either pizza many around u came later
not know slow,negative,"['not', 'know', 'slow']",not know slow
staff great food delish incredible beer selection,positive,"['staff', 'great', 'food', 'delish', 'incredible', 'beer', 'selection']",staff great food delish incredible beer selection
live neighborhood disappointed not back convenient location,negative,"['live', 'neighborhood', 'disappointed', 'not', 'back', 'convenient', 'location']",live neighborhood disappointed not back convenient location
not know pulled pork could soooo delicious,positive,"['not', 'know', 'pulled', 'pork', 'could', 'soooo', 'delicious']",not know pulled pork could soooo delicious
get incredibly fresh fish prepared care,positive,"['get', 'incredibly', 'fresh', 'fish', 'prepared', 'care']",get incredibly fresh fish prepared care
go gave 1 star rating please know third time eating bachi burger writing review,negative,"['go', 'gave', '1', 'star', 'rating', 'please', 'know', 'third', 'time', 'eating', 'bachi', 'burger', 'writing', 'review']",go gave 1 star rating please know third time eating bachi burger writing review
love fact everything menu worth,positive,"['love', 'fact', 'everything', 'menu', 'worth']",love fact everything menu worth
never dining place,negative,"['never', 'dining', 'place']",never dining place
food excellent service good,positive,"['food', 'excellent', 'service', 'good']",food excellent service good
good beer drink selection good food selection,positive,"['good', 'beer', 'drink', 'selection', 'good', 'food', 'selection']",good beer drink selection good food selection
please stay away shrimp stir fried noodles,negative,"['please', 'stay', 'away', 'shrimp', 'stir', 'fried', 'noodles']",please stay away shrimp stir fried noodle
potato chip order sad could probably count many chips box probably around 12,negative,"['potato', 'chip', 'order', 'sad', 'could', 'probably', 'count', 'many', 'chips', 'box', 'probably', 'around', '12']",potato chip order sad could probably count many chip box probably around 12
food really boring,negative,"['food', 'really', 'boring']",food really boring
good servicecheck,positive,"['good', 'servicecheck']",good servicecheck
greedy corporation never see another dime,negative,"['greedy', 'corporation', 'never', 'see', 'another', 'dime']",greedy corporation never see another dime
never ever go back,negative,"['never', 'ever', 'go', 'back']",never ever go back
much id like go back cannot get passed atrocious service never return,negative,"['much', 'id', 'like', 'go', 'back', 'can', 'not', 'get', 'passed', 'atrocious', 'service', 'never', 'return']",much id like go back can not get passed atrocious service never return
summer dine charming outdoor patio delightful,positive,"['summer', 'dine', 'charming', 'outdoor', 'patio', 'delightful']",summer dine charming outdoor patio delightful
not expect good,positive,"['not', 'expect', 'good']",not expect good
fantastic food,positive,"['fantastic', 'food']",fantastic food
ordered toasted english muffin came untoasted,negative,"['ordered', 'toasted', 'english', 'muffin', 'came', 'untoasted']",ordered toasted english muffin came untoasted
food good,positive,"['food', 'good']",food good
never going back,negative,"['never', 'going', 'back']",never going back
great food price high quality house made,positive,"['great', 'food', 'price', 'high', 'quality', 'house', 'made']",great food price high quality house made
bus boy hand rude,negative,"['bus', 'boy', 'hand', 'rude']",bus boy hand rude
point friends basically figured place joke not mind making publicly loudly known,negative,"['point', 'friends', 'basically', 'figured', 'place', 'joke', 'not', 'mind', 'making', 'publicly', 'loudly', 'known']",point friend basically figured place joke not mind making publicly loudly known
back good bbq lighter fare reasonable pricing tell public back old ways,positive,"['back', 'good', 'bbq', 'lighter', 'fare', 'reasonable', 'pricing', 'tell', 'public', 'back', 'old', 'ways']",back good bbq lighter fare reasonable pricing tell public back old way
considering two us left full happy 20 cannot go wrong,positive,"['considering', 'two', 'us', 'left', 'full', 'happy', '20', 'can', 'not', 'go', 'wrong']",considering two u left full happy 20 can not go wrong
bread made inhouse,positive,"['bread', 'made', 'inhouse']",bread made inhouse
downside service,negative,"['downside', 'service']",downside service
also fries without doubt worst fries ever,negative,"['also', 'fries', 'without', 'doubt', 'worst', 'fries', 'ever']",also fry without doubt worst fry ever
service exceptional food good reviews,positive,"['service', 'exceptional', 'food', 'good', 'reviews']",service exceptional food good review
couple months later returned amazing meal,positive,"['couple', 'months', 'later', 'returned', 'amazing', 'meal']",couple month later returned amazing meal
favorite place town shawarrrrrrma,positive,"['favorite', 'place', 'town', 'shawarrrrrrma']",favorite place town shawarrrrrrma
black eyed peas sweet potatoes unreal,positive,"['black', 'eyed', 'peas', 'sweet', 'potatoes', 'unreal']",black eyed pea sweet potato unreal
not disappointed,positive,"['not', 'disappointed']",not disappointed
could serve vinaigrette may make better overall dish still good,positive,"['could', 'serve', 'vinaigrette', 'may', 'make', 'better', 'overall', 'dish', 'still', 'good']",could serve vinaigrette may make better overall dish still good
go far many places never seen restaurant serves 1 egg breakfast especially 400,negative,"['go', 'far', 'many', 'places', 'never', 'seen', 'restaurant', 'serves', '1', 'egg', 'breakfast', 'especially', '400']",go far many place never seen restaurant serf 1 egg breakfast especially 400
mom got home immediately got sick bites salad,negative,"['mom', 'got', 'home', 'immediately', 'got', 'sick', 'bites', 'salad']",mom got home immediately got sick bite salad
servers not pleasant deal not always honor pizza hut coupons,negative,"['servers', 'not', 'pleasant', 'deal', 'not', 'always', 'honor', 'pizza', 'hut', 'coupons']",server not pleasant deal not always honor pizza hut coupon
truly unbelievably good glad went back,positive,"['truly', 'unbelievably', 'good', 'glad', 'went', 'back']",truly unbelievably good glad went back
fantastic service pleased atmosphere,positive,"['fantastic', 'service', 'pleased', 'atmosphere']",fantastic service pleased atmosphere
everything gross,negative,"['everything', 'gross']",everything gross
love place,positive,"['love', 'place']",love place
great service food,positive,"['great', 'service', 'food']",great service food
first bathrooms location dirty seat covers not replenished plain yucky,negative,"['first', 'bathrooms', 'location', 'dirty', 'seat', 'covers', 'not', 'replenished', 'plain', 'yucky']",first bathroom location dirty seat cover not replenished plain yucky
burger got gold standard 17 burger kind disappointed,negative,"['burger', 'got', 'gold', 'standard', '17', 'burger', 'kind', 'disappointed']",burger got gold standard 17 burger kind disappointed
omg food delicioso,positive,"['omg', 'food', 'delicioso']",omg food delicioso
nothing authentic place,negative,"['nothing', 'authentic', 'place']",nothing authentic place
spaghetti nothing special whatsoever,negative,"['spaghetti', 'nothing', 'special', 'whatsoever']",spaghetti nothing special whatsoever
dishes salmon best great,positive,"['dishes', 'salmon', 'best', 'great']",dish salmon best great
vegetables fresh sauce feels like authentic thai,positive,"['vegetables', 'fresh', 'sauce', 'feels', 'like', 'authentic', 'thai']",vegetable fresh sauce feel like authentic thai
worth driving tucson,positive,"['worth', 'driving', 'tucson']",worth driving tucson
selection probably worst seen vegasthere none,negative,"['selection', 'probably', 'worst', 'seen', 'vegasthere', 'none']",selection probably worst seen vegasthere none
pretty good beer selection,positive,"['pretty', 'good', 'beer', 'selection']",pretty good beer selection
place like chipotle better,positive,"['place', 'like', 'chipotle', 'better']",place like chipotle better
classywarm atmosphere fun fresh appetizers succulent steaks baseball steak,positive,"['classywarm', 'atmosphere', 'fun', 'fresh', 'appetizers', 'succulent', 'steaks', 'baseball', 'steak']",classywarm atmosphere fun fresh appetizer succulent steak baseball steak
5 stars brick oven bread app,positive,"['5', 'stars', 'brick', 'oven', 'bread', 'app']",5 star brick oven bread app
eaten multiple times time food delicious,positive,"['eaten', 'multiple', 'times', 'time', 'food', 'delicious']",eaten multiple time time food delicious
sat another ten minutes finally gave left,negative,"['sat', 'another', 'ten', 'minutes', 'finally', 'gave', 'left']",sat another ten minute finally gave left
terrible,negative,['terrible'],terrible
everyone treated equally special,positive,"['everyone', 'treated', 'equally', 'special']",everyone treated equally special
not take 30 min pancakes eggs,negative,"['not', 'take', '30', 'min', 'pancakes', 'eggs']",not take 30 min pancake egg
good side staff genuinely pleasant enthusiastic real treat,positive,"['good', 'side', 'staff', 'genuinely', 'pleasant', 'enthusiastic', 'real', 'treat']",good side staff genuinely pleasant enthusiastic real treat
sadly gordon ramseys steak place shall sharply avoid next trip vegas,negative,"['sadly', 'gordon', 'ramseys', 'steak', 'place', 'shall', 'sharply', 'avoid', 'next', 'trip', 'vegas']",sadly gordon ramseys steak place shall sharply avoid next trip vega
always evening wonderful food delicious,positive,"['always', 'evening', 'wonderful', 'food', 'delicious']",always evening wonderful food delicious
best fish ever life,positive,"['best', 'fish', 'ever', 'life']",best fish ever life
bathroom next door nice,positive,"['bathroom', 'next', 'door', 'nice']",bathroom next door nice
buffet small food offered bland,negative,"['buffet', 'small', 'food', 'offered', 'bland']",buffet small food offered bland
outstanding little restaurant best food ever tasted,positive,"['outstanding', 'little', 'restaurant', 'best', 'food', 'ever', 'tasted']",outstanding little restaurant best food ever tasted
pretty cool would say,positive,"['pretty', 'cool', 'would', 'say']",pretty cool would say
definitely turn doubt ill back unless someone else buying,negative,"['definitely', 'turn', 'doubt', 'ill', 'back', 'unless', 'someone', 'else', 'buying']",definitely turn doubt ill back unless someone else buying
server great job handling large rowdy table,positive,"['server', 'great', 'job', 'handling', 'large', 'rowdy', 'table']",server great job handling large rowdy table
find wasting food despicable not food,negative,"['find', 'wasting', 'food', 'despicable', 'not', 'food']",find wasting food despicable not food
wife lobster bisque soup lukewarm,negative,"['wife', 'lobster', 'bisque', 'soup', 'lukewarm']",wife lobster bisque soup lukewarm
would come back sushi craving vegas,positive,"['would', 'come', 'back', 'sushi', 'craving', 'vegas']",would come back sushi craving vega
staff great ambiance great,positive,"['staff', 'great', 'ambiance', 'great']",staff great ambiance great
deserves 5 stars,positive,"['deserves', '5', 'stars']",deserves 5 star
left stomach ache felt sick rest day,negative,"['left', 'stomach', 'ache', 'felt', 'sick', 'rest', 'day']",left stomach ache felt sick rest day
dropped ball,negative,"['dropped', 'ball']",dropped ball
dining space tiny elegantly decorated comfortable,positive,"['dining', 'space', 'tiny', 'elegantly', 'decorated', 'comfortable']",dining space tiny elegantly decorated comfortable
customize order way would like usual eggplant green bean stir fry love,positive,"['customize', 'order', 'way', 'would', 'like', 'usual', 'eggplant', 'green', 'bean', 'stir', 'fry', 'love']",customize order way would like usual eggplant green bean stir fry love
beans rice mediocre best,negative,"['beans', 'rice', 'mediocre', 'best']",bean rice mediocre best
best tacos town far,positive,"['best', 'tacos', 'town', 'far']",best taco town far
took back money got outta,negative,"['took', 'back', 'money', 'got', 'outta']",took back money got outta
interesting part town place amazing,positive,"['interesting', 'part', 'town', 'place', 'amazing']",interesting part town place amazing
rude inconsiderate management,negative,"['rude', 'inconsiderate', 'management']",rude inconsiderate management
staff not friendly wait times served horrible no one even says hi first 10 minutes,negative,"['staff', 'not', 'friendly', 'wait', 'times', 'served', 'horrible', 'no', 'one', 'even', 'says', 'hi', 'first', '10', 'minutes']",staff not friendly wait time served horrible no one even say hi first 10 minute
not back,negative,"['not', 'back']",not back
great dinners,positive,"['great', 'dinners']",great dinner
service outshining definitely recommend halibut,positive,"['service', 'outshining', 'definitely', 'recommend', 'halibut']",service outshining definitely recommend halibut
food terrible,negative,"['food', 'terrible']",food terrible
never ever go back told many people happened,negative,"['never', 'ever', 'go', 'back', 'told', 'many', 'people', 'happened']",never ever go back told many people happened
not recommend unless car breaks front starving,negative,"['not', 'recommend', 'unless', 'car', 'breaks', 'front', 'starving']",not recommend unless car break front starving
come back every time vegas,positive,"['come', 'back', 'every', 'time', 'vegas']",come back every time vega
place deserves one star 90 food,negative,"['place', 'deserves', 'one', 'star', '90', 'food']",place deserves one star 90 food
disgrace,negative,['disgrace'],disgrace
def coming back bowl next time,positive,"['def', 'coming', 'back', 'bowl', 'next', 'time']",def coming back bowl next time
want healthy authentic ethic food try place,positive,"['want', 'healthy', 'authentic', 'ethic', 'food', 'try', 'place']",want healthy authentic ethic food try place
continue come ladies night andddd date night highly recommend place anyone area,positive,"['continue', 'come', 'ladies', 'night', 'andddd', 'date', 'night', 'highly', 'recommend', 'place', 'anyone', 'area']",continue come lady night andddd date night highly recommend place anyone area
several times past experience always great,positive,"['several', 'times', 'past', 'experience', 'always', 'great']",several time past experience always great
walked away stuffed happy first vegas buffet experience,positive,"['walked', 'away', 'stuffed', 'happy', 'first', 'vegas', 'buffet', 'experience']",walked away stuffed happy first vega buffet experience
service excellent prices pretty reasonable considering vegas located inside crystals shopping mall aria,positive,"['service', 'excellent', 'prices', 'pretty', 'reasonable', 'considering', 'vegas', 'located', 'inside', 'crystals', 'shopping', 'mall', 'aria']",service excellent price pretty reasonable considering vega located inside crystal shopping mall aria
summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,positive,"['summarize', 'food', 'incredible', 'nay', 'transcendant', 'nothing', 'brings', 'joy', 'quite', 'like', 'memory', 'pneumatic', 'condiment', 'dispenser']",summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser
probably one people ever go ians not like,negative,"['probably', 'one', 'people', 'ever', 'go', 'ians', 'not', 'like']",probably one people ever go ians not like
kids pizza always hit lots great side dish options kiddos,positive,"['kids', 'pizza', 'always', 'hit', 'lots', 'great', 'side', 'dish', 'options', 'kiddos']",kid pizza always hit lot great side dish option kiddos
service perfect family atmosphere nice see,positive,"['service', 'perfect', 'family', 'atmosphere', 'nice', 'see']",service perfect family atmosphere nice see
cooked perfection service impeccable,positive,"['cooked', 'perfection', 'service', 'impeccable']",cooked perfection service impeccable
one simply disappointment,negative,"['one', 'simply', 'disappointment']",one simply disappointment
overall disappointed quality food bouchon,negative,"['overall', 'disappointed', 'quality', 'food', 'bouchon']",overall disappointed quality food bouchon
not accountant know getting screwed,negative,"['not', 'accountant', 'know', 'getting', 'screwed']",not accountant know getting screwed
great place eat reminds little mom pop shops san francisco bay area,positive,"['great', 'place', 'eat', 'reminds', 'little', 'mom', 'pop', 'shops', 'san', 'francisco', 'bay', 'area']",great place eat reminds little mom pop shop san francisco bay area
today first taste buldogis gourmet hot dog tell ever thought possible,positive,"['today', 'first', 'taste', 'buldogis', 'gourmet', 'hot', 'dog', 'tell', 'ever', 'thought', 'possible']",today first taste buldogis gourmet hot dog tell ever thought possible
left frustrated,negative,"['left', 'frustrated']",left frustrated
ill definitely soon,positive,"['ill', 'definitely', 'soon']",ill definitely soon
food really good got full petty fast,positive,"['food', 'really', 'good', 'got', 'full', 'petty', 'fast']",food really good got full petty fast
service fantastic,positive,"['service', 'fantastic']",service fantastic
total waste time,negative,"['total', 'waste', 'time']",total waste time
not know kind best iced tea,positive,"['not', 'know', 'kind', 'best', 'iced', 'tea']",not know kind best iced tea
come hungry leave happy stuffed,positive,"['come', 'hungry', 'leave', 'happy', 'stuffed']",come hungry leave happy stuffed
service give no stars,negative,"['service', 'give', 'no', 'stars']",service give no star
assure not disappointed,positive,"['assure', 'not', 'disappointed']",assure not disappointed
take little bad service food sucks,negative,"['take', 'little', 'bad', 'service', 'food', 'sucks']",take little bad service food suck
gave trying eat crust teeth still sore,negative,"['gave', 'trying', 'eat', 'crust', 'teeth', 'still', 'sore']",gave trying eat crust teeth still sore
completely grossed,negative,"['completely', 'grossed']",completely grossed
really enjoyed eating,positive,"['really', 'enjoyed', 'eating']",really enjoyed eating
first time going think quickly become regular,positive,"['first', 'time', 'going', 'think', 'quickly', 'become', 'regular']",first time going think quickly become regular
server nice even though looked little overwhelmed needs stayed professional friendly end,positive,"['server', 'nice', 'even', 'though', 'looked', 'little', 'overwhelmed', 'needs', 'stayed', 'professional', 'friendly', 'end']",server nice even though looked little overwhelmed need stayed professional friendly end
dinner companions told meeverything fresh nice texture taste,positive,"['dinner', 'companions', 'told', 'meeverything', 'fresh', 'nice', 'texture', 'taste']",dinner companion told meeverything fresh nice texture taste
ground right next table large smeared beensteppedinandtrackedeverywhere pile green bird poop,negative,"['ground', 'right', 'next', 'table', 'large', 'smeared', 'beensteppedinandtrackedeverywhere', 'pile', 'green', 'bird', 'poop']",ground right next table large smeared beensteppedinandtrackedeverywhere pile green bird poop
furthermore cannot even find hours operation website,negative,"['furthermore', 'can', 'not', 'even', 'find', 'hours', 'operation', 'website']",furthermore can not even find hour operation website
tried like place 10 times think done,negative,"['tried', 'like', 'place', '10', 'times', 'think', 'done']",tried like place 10 time think done
mistake,negative,['mistake'],mistake
no complaints,positive,"['no', 'complaints']",no complaint
seriously good pizza expertconnisseur topic,positive,"['seriously', 'good', 'pizza', 'expertconnisseur', 'topic']",seriously good pizza expertconnisseur topic
waiter jerk,negative,"['waiter', 'jerk']",waiter jerk
strike 2 wants rushed,negative,"['strike', '2', 'wants', 'rushed']",strike 2 want rushed
nicest restaurant owners ever come across,positive,"['nicest', 'restaurant', 'owners', 'ever', 'come', 'across']",nicest restaurant owner ever come across
never come,negative,"['never', 'come']",never come
loved biscuits,positive,"['loved', 'biscuits']",loved biscuit
service quick friendly,positive,"['service', 'quick', 'friendly']",service quick friendly
ordered appetizer took 40 minutes pizza another 10 minutes,negative,"['ordered', 'appetizer', 'took', '40', 'minutes', 'pizza', 'another', '10', 'minutes']",ordered appetizer took 40 minute pizza another 10 minute
absolutley fantastic,positive,"['absolutley', 'fantastic']",absolutley fantastic
huge awkward 15lb piece cow 34ths gristle fat,negative,"['huge', 'awkward', '15lb', 'piece', 'cow', '34ths', 'gristle', 'fat']",huge awkward 15lb piece cow 34ths gristle fat
definitely come back,positive,"['definitely', 'come', 'back']",definitely come back
like steiners dark feels like bar,positive,"['like', 'steiners', 'dark', 'feels', 'like', 'bar']",like steiner dark feel like bar
wow spicy delicious,positive,"['wow', 'spicy', 'delicious']",wow spicy delicious
not familiar check,positive,"['not', 'familiar', 'check']",not familiar check
ill take business dinner dollars elsewhere,negative,"['ill', 'take', 'business', 'dinner', 'dollars', 'elsewhere']",ill take business dinner dollar elsewhere
id love go back,positive,"['id', 'love', 'go', 'back']",id love go back
anyway fs restaurant wonderful breakfastlunch,positive,"['anyway', 'fs', 'restaurant', 'wonderful', 'breakfastlunch']",anyway f restaurant wonderful breakfastlunch
nothing special,negative,"['nothing', 'special']",nothing special
day week different deal delicious,positive,"['day', 'week', 'different', 'deal', 'delicious']",day week different deal delicious
not mention combination pears almonds bacon big winner,positive,"['not', 'mention', 'combination', 'pears', 'almonds', 'bacon', 'big', 'winner']",not mention combination pear almond bacon big winner
sauce tasteless,negative,"['sauce', 'tasteless']",sauce tasteless
food delicious spicy enough sure ask spicier prefer way,positive,"['food', 'delicious', 'spicy', 'enough', 'sure', 'ask', 'spicier', 'prefer', 'way']",food delicious spicy enough sure ask spicier prefer way
ribeye steak cooked perfectly great mesquite flavor,positive,"['ribeye', 'steak', 'cooked', 'perfectly', 'great', 'mesquite', 'flavor']",ribeye steak cooked perfectly great mesquite flavor
not think well going back anytime soon,negative,"['not', 'think', 'well', 'going', 'back', 'anytime', 'soon']",not think well going back anytime soon
food gooodd,positive,"['food', 'gooodd']",food gooodd
far sushi connoisseur definitely tell difference good food bad food certainly bad food,negative,"['far', 'sushi', 'connoisseur', 'definitely', 'tell', 'difference', 'good', 'food', 'bad', 'food', 'certainly', 'bad', 'food']",far sushi connoisseur definitely tell difference good food bad food certainly bad food
insulted,negative,['insulted'],insulted
last 3 times lunch bad,negative,"['last', '3', 'times', 'lunch', 'bad']",last 3 time lunch bad
chicken wings contained driest chicken meat ever eaten,negative,"['chicken', 'wings', 'contained', 'driest', 'chicken', 'meat', 'ever', 'eaten']",chicken wing contained driest chicken meat ever eaten
food good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc,positive,"['food', 'good', 'enjoyed', 'every', 'mouthful', 'enjoyable', 'relaxed', 'venue', 'couples', 'small', 'family', 'groups', 'etc']",food good enjoyed every mouthful enjoyable relaxed venue couple small family group etc
nargile think great,positive,"['nargile', 'think', 'great']",nargile think great
best tater tots southwest,positive,"['best', 'tater', 'tots', 'southwest']",best tater tot southwest
loved place,positive,"['loved', 'place']",loved place
definitely not worth 3 paid,negative,"['definitely', 'not', 'worth', '3', 'paid']",definitely not worth 3 paid
vanilla ice cream creamy smooth profiterole choux pastry fresh enough,positive,"['vanilla', 'ice', 'cream', 'creamy', 'smooth', 'profiterole', 'choux', 'pastry', 'fresh', 'enough']",vanilla ice cream creamy smooth profiterole chou pastry fresh enough
az time new spot,positive,"['az', 'time', 'new', 'spot']",az time new spot
manager worst,negative,"['manager', 'worst']",manager worst
inside really quite nice clean,positive,"['inside', 'really', 'quite', 'nice', 'clean']",inside really quite nice clean
food outstanding prices reasonable,positive,"['food', 'outstanding', 'prices', 'reasonable']",food outstanding price reasonable
not think ill running back carlys anytime soon food,negative,"['not', 'think', 'ill', 'running', 'back', 'carlys', 'anytime', 'soon', 'food']",not think ill running back carlys anytime soon food
due fact took 20 minutes acknowledged another 35 minutes get foodand kept forgetting things,negative,"['due', 'fact', 'took', '20', 'minutes', 'acknowledged', 'another', '35', 'minutes', 'get', 'foodand', 'kept', 'forgetting', 'things']",due fact took 20 minute acknowledged another 35 minute get foodand kept forgetting thing
love margaritas,positive,"['love', 'margaritas']",love margarita
first vegas buffet not disappoint,positive,"['first', 'vegas', 'buffet', 'not', 'disappoint']",first vega buffet not disappoint
good though,positive,"['good', 'though']",good though
